Date,Price
2026-08-31,220.93
2026-08-28,222.09
2026-08-27,221.2
2026-08-26,222.62
2026-08-25,222.81
2026-08-24,221.76
2026-08-21,222.0
2026-08-20,220.83
2026-08-19,221.31
2026-08-18,221.62
2026-08-17,223.42
2026-08-14,223.24
2026-08-13,223.77
2026-08-12,223.2
2026-08-11,223.05
2026-08-10,222.94
